username,movie_slug,rating
davidlsims,nightbitch,2.0
davidlsims,beetlejuice-beetlejuice,3.0
davidlsims,the-instigators,2.0
davidlsims,trap-2024,4.5
davidlsims,deadpool-wolverine,2.5
davidlsims,twisters,3.0
davidlsims,longlegs,4.0
davidlsims,a-quiet-place-day-one,3.0
davidlsims,maxxxine,3.0
davidlsims,beverly-hills-cop-axel-f,3.0
davidlsims,inside-out-2-2024,3.0
davidlsims,the-watchers-2024,3.0
davidlsims,bad-boys-ride-or-die,3.5
davidlsims,horizon-an-american-saga-chapter-1,3.5
davidlsims,rumours-2024,3.0
davidlsims,kinds-of-kindness,3.0
davidlsims,kingdom-of-the-planet-of-the-apes,3.0
davidlsims,furiosa-a-mad-max-saga,4.5
davidlsims,unfrosted,2.0
davidlsims,steve-2024,3.5
davidlsims,the-first-omen,4.0
davidlsims,challengers,4.5
davidlsims,godzilla-kong-the-new-empire,2.0
davidlsims,ghostbusters-frozen-empire,2.5
davidlsims,civil-war-2024,3.5
davidlsims,the-fall-guy-2024,3.0
davidlsims,immaculate-2024,3.0
davidlsims,road-house-2024,2.0
davidlsims,drive-away-dolls,3.5
davidlsims,chime,4.0
davidlsims,madame-web,1.0
davidlsims,dune-part-two,5.0
davidlsims,in-a-violent-nature,3.5
davidlsims,in-the-summers,2.5
davidlsims,good-one,4.0
davidlsims,a-different-man,3.5
davidlsims,love-lies-bleeding-2024,3.0
davidlsims,a-real-pain,3.5
davidlsims,didi-2024,3.0
davidlsims,between-the-temples,3.5
davidlsims,sasquatch-sunset,2.5
davidlsims,thelma-2024,3.0
davidlsims,i-saw-the-tv-glow,4.5
davidlsims,argylle,1.5
davidlsims,the-beekeeper-2024,2.5
davidlsims,night-swim-2024,2.0
davidlsims,doctor-who-the-church-on-ruby-road,4.0
davidlsims,aquaman-and-the-lost-kingdom,3.0
davidlsims,anyone-but-you,2.0
davidlsims,your-christmas-or-mine-2,2.0
davidlsims,rebel-moon-part-one-a-child-of-fire,2.5
davidlsims,silent-night-2023-1,1.0
davidlsims,wonka,3.0
davidlsims,the-color-purple-2023,2.5
davidlsims,please-dont-destroy-the-treasure-of-foggy-mountain,3.0
davidlsims,napoleon-2023,3.5
davidlsims,the-iron-claw-2023,4.5
davidlsims,the-marvels,2.5
davidlsims,the-hunger-games-the-ballad-of-songbirds-snakes,3.5
davidlsims,thanksgiving-2023,3.0
davidlsims,godzilla-minus-one,4.0
davidlsims,beckham,3.0
davidlsims,the-exorcist-believer,1.5
davidlsims,poison-2023,3.5
davidlsims,the-rat-catcher-2023,3.5
davidlsims,the-swan-2023,4.5
davidlsims,saw-x,3.0
davidlsims,strange-darling,3.0
davidlsims,no-one-will-save-you,3.0
davidlsims,the-creator-2023,3.0
davidlsims,sly-2023,2.5
davidlsims,a-haunting-in-venice,3.0
davidlsims,the-burial,3.5
davidlsims,next-goal-wins-2023,1.5
davidlsims,quiz-lady,3.0
davidlsims,dream-scenario,2.5
davidlsims,his-three-daughters,3.5
davidlsims,memory-2023,3.0
davidlsims,american-fiction,3.0
davidlsims,dumb-money,3.0
davidlsims,finestkind,2.0
davidlsims,gasoline-rainbow,3.0
davidlsims,north-star-2023,1.5
davidlsims,origin-2023-1,2.0
davidlsims,hit-man-2023,4.0
davidlsims,evil-does-not-exist,4.0
davidlsims,priscilla,3.5
davidlsims,menus-plaisirs-les-troisgros,4.0
